what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1241275909468
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1241275909469
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1241275909469
started,bundle,org.eclipse.core.resources,3.4.2.R34x_v20090126,org.eclipse.core.resources,1241275909469
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1241275909469
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1241275909469
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1241275909469
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1241275909470
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.garbagecollector,1241275909470
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1241275909470
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1241275909470
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1241275909470
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1241275909470
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.2.R34x_v20081007,org.eclipse.equinox.frameworkadmin,1241275909471
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1241275909471
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1241275909471
started,bundle,org.eclipse.mylyn.bugzilla.core,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.bugzilla.core,1241275909471
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1241275909472
started,bundle,org.eclipse.equinox.preferences,3.2.201.R34x_v20080709,org.eclipse.equinox.preferences,1241275909472
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275932198
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275933737
activated,view,org.eclipse.mylyn.tasks.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.ui.views.repositories,1241275934988
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1241275937077
activated,view,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.pde.runtime.LogView,1241275938519
executed,command,org.eclipse.mylyn.tasks.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.ui.command.addTaskRepository,1241275943921
